repo,commit,packages,abandoned,silent,marked_on_packagist,composer_audit_abandoned,pinned,left-behind,old-promise,stale,unknown,not_from_composer_repository
akaunting/akaunting,55669f7cc427f15bd8abf110e3cb2c0cdc422467,183,16,0,16,16,0,7,9,8,0,0
ampache/ampache,14d52c92973d11a649ebeabc2712b990dc9dca9a,74,0,0,0,0,4,2,8,2,0,1
BookStackApp/BookStack,cf133540b13073e18e08f10b65a2aff2be0f155e,113,0,0,0,0,0,0,1,3,0,0
cachethq/cachet,188d8c81878fe942aeae3c74b6bed81d3cae9288,139,0,0,0,0,1,0,2,2,0,0
chamilo/chamilo-lms,cd3efcb74dcf4244d3a18a94fefa585523f18d66,271,0,6,0,0,0,7,17,6,1,1
concretecms/concretecms,66d3f3d614e26e4b7955b967fed133a8acdb6820,158,11,2,11,10,0,22,42,2,0,0
symfony/demo,8d2e2ef75c3e18df173d8bf2379a14abb58c4c31,99,0,0,0,0,0,0,0,1,0,0
drupal/drupal,c0277ee2f7b0c402d7cd7eb35e8b8f193efe6543,64,0,1,0,0,5,0,1,0,0,5
espocrm/espocrm,8499172c1b631e6fff57093445e11e2440788d6f,125,0,1,0,0,2,4,8,4,0,2
firefly-iii/firefly-iii,99f9b7477d064b1d1729a4348e43fffef1b385ce,132,0,1,0,0,1,0,4,5,0,0
humhub/humhub,cf51cf811d36d5c1ab59e2fd1e098d67786121ab,210,2,10,1,1,0,12,16,20,58,58
invoiceninja/invoiceninja,f1ffa5f9989afbed4e7dc80b5c0cc18944335ffc,245,0,0,0,0,2,7,7,8,0,2
joomla/joomla-cms,a8bd3564ef52e830069aeb91286c2fd67bb3872d,93,2,0,2,1,2,3,4,1,1,3
kanboard/kanboard,cf53b54597b67b60140586c09c2fe6132ead013c,18,0,0,0,0,0,0,7,0,0,0
koel/koel,51698046353dfc7dd4ee466580f9120d5a1f6762,155,0,0,0,0,0,3,3,1,1,1
librenms/librenms,4381e1a98a83a7b72599045095f6d5ef37bda2e6,138,2,2,1,1,1,0,5,2,0,0
magento/magento2,874f1f5cdf3bc52b61c3d66becf159cc16345d7a,148,4,0,4,4,0,1,6,3,0,0
matomo-org/matomo,49225bef3528bf825b7fe1a986a219a82f0dd606,52,1,3,1,1,2,0,1,0,0,0
mautic/mautic,7912edbd7ede249ddbb2721abd6def94bee52f3e,193,2,2,2,2,1,10,13,3,0,1
monicahq/monica,e08e91734170b6bbd582cb578532c3948196124e,165,1,1,1,1,0,0,6,6,0,0
moodle/moodle,e68a1418bea512dd5992c29eb9e36570a3844e94,61,0,1,0,0,0,0,6,0,0,0
opencart/opencart,c78dd969319ba2c7ea86ab3c0bd292d830b92df2,17,0,0,0,0,0,0,2,0,0,0
pterodactyl/panel,113ea43d0d48f48d567c9d91e4a7d5b5bb8876e3,109,0,0,0,0,0,0,1,3,0,0
phpbb/phpbb,ccb3ac2e92a0f8f89fc3350ba136746db2578ed1,86,5,2,5,5,0,1,3,0,0,0
phpmyadmin/phpmyadmin,21ef436eff4013f6fa2200e072916eca4fc865bb,34,0,0,0,0,0,0,0,0,0,0
pixelfed/pixelfed,29877111d2fa9f28087de0d4eee144b2bdee63d6,147,0,4,0,0,0,0,4,1,0,0
PrestaShop/PrestaShop,e5515d88ead3761a342c72bffb91446ba213ba13,228,4,3,4,0,0,4,26,6,2,2
snipe/snipe-it,4b16384c9289b0c4f1df0235bf6f1b58e08d3f0f,167,1,5,1,1,1,5,7,4,0,1
salesagility/SuiteCRM-Core,2cd77380bc838b8bd6c80f9fbe25855d73ef860c,210,5,2,5,3,0,2,16,2,0,0
typo3/typo3,d74c1343dcd2b442dca896140e2be6258503abcc,75,0,0,0,0,0,0,0,1,0,0
wallabag/wallabag,ac82cd088f21f34435376602e2d7ce291a0135dc,200,19,8,19,16,4,12,38,2,0,0
