date,lockrot,kind,repo,package,tag,version,commit,packages,advisories,abandoned,silent,pinned,left-behind,old-promise,stale,unknown,marked_on_packagist
2026-09-21,0.10.0,release,coollabsio/coolify,,v4.3.23,,e2e2d4010bcd590084b66d6f748f3eec8e2bbee9,161,1,0,2,0,0,2,5,0,0
2026-09-21,0.10.0,release,appwrite/appwrite,,2.2.0,,51055258e99ba4b96398c7fc1180afb281fe3402,91,0,2,1,0,0,2,0,3,2
2026-09-21,0.10.0,release,bagisto/bagisto,,v2.4.11,,9beff85ece6fe13378a97e6f84765b50647d3327,167,0,0,0,0,2,2,5,0,0
2026-09-21,0.10.0,release,monicahq/monica,,v4.1.2,,32028ce3ce79cef38df5d27a297e5b20680f0065,181,20,7,2,1,16,21,4,0,7
2026-09-21,0.10.0,release,firefly-iii/firefly-iii,,v6.7.3,,99f9b7477d064b1d1729a4348e43fffef1b385ce,132,0,0,1,1,0,4,5,0,0
2026-09-21,0.10.0,release,matomo-org/matomo,,5.13.0,,04c528673024239d858998eebc34e1f8afa1acf3,55,0,1,4,2,6,11,0,0,1
2026-09-21,0.10.0,release,BookStackApp/BookStack,,v26.05.5,,771a2d04927dab0ce07edc5874aeb18896f830c4,113,0,0,0,0,0,1,3,0,0
2026-09-21,0.10.0,release,grokability/snipe-it,,v8.7.2,,f3f1dd722b167587c7819f3c518cc5b14475f89f,166,11,1,5,1,5,7,4,0,1
2026-09-21,0.10.0,release,wallabag/wallabag,,2.6.14,,74cbfd945bc316b5cf0308ba56e32fd2ed3443c0,210,19,27,10,1,54,37,3,0,27
2026-09-21,0.10.0,release,magento/magento2,,2.4.9,,755e34dd689021c5165db9d35ecff74f7dc51527,148,14,4,0,0,1,6,3,0,4
2026-09-21,0.10.0,release,mautic/mautic,,7.2.0,,504af18cf90d8fbe701fde55cb1a94603db9e21a,193,2,2,2,1,10,14,3,0,2
2026-09-21,0.10.0,release,akaunting/akaunting,,3.2.4,,3940b76b12cb86592dcb44147e8912742945a4c9,183,3,16,0,0,7,9,8,0,16
2026-09-21,0.10.0,release,invoiceninja/invoiceninja,,v5.13.43,,382020072bc79e8c7ede49f7e9ce91b0aeb1a051,245,0,0,0,2,7,7,8,0,0
2026-09-21,0.10.0,release,PrestaShop/PrestaShop,,9.1.5,,aee413eedd5fdc5053f28fb998da4b7e286cf641,227,1,4,3,0,8,28,6,2,4
2026-09-21,0.10.0,release,moodle/moodle,,v5.2.3,,344232c15336c71b80f9aca8359ce0e0a9f3d116,48,6,0,1,0,0,4,0,0,0
2026-09-21,0.10.0,release,phpmyadmin/phpmyadmin,,RELEASE_5_2_3,,962857e4f63d42e38f11ff4d63f5e722018add76,58,4,2,1,0,9,13,0,1,2
2026-09-21,0.10.0,release,phpbb/phpbb,,release-3.3.17,,3508484fdc18cd97eeab229da830055c79fcc59e,40,10,4,1,0,16,5,1,0,4
2026-09-21,0.10.0,release,joomla/joomla-cms,,6.1.3,,0f2d4de4729eb951e0878fec98c7990da07915b2,89,1,2,0,2,2,4,1,1,2
2026-09-21,0.10.0,release,drupal/drupal,,11.4.7,,e0e7bfbc2d29f74e97ce98fd33df79aa97bed4e4,66,2,0,1,0,0,1,0,5,0
2026-09-21,0.10.0,release,TYPO3/typo3,,v14.3.7,,07f4dc8267d1824a3021c00cd36c5ad8ee7f84a1,77,0,0,0,0,0,0,1,0,0
2026-09-21,0.10.0,starter,,laravel/laravel,,v13.10.1,,76,0,0,0,0,0,0,1,0,0
2026-09-21,0.10.0,starter,,symfony/skeleton,,v8.1.99,,1,0,0,0,0,0,0,0,0,0
2026-09-21,0.10.0,starter,,symfony/skeleton,,v8.1.99,,133,0,0,0,0,0,0,2,0,0
2026-09-21,0.10.0,starter,,symfony/skeleton,,v8.1.99,,47,0,0,0,0,0,1,0,0,0
2026-09-21,0.10.0,starter,,drupal/recommended-project,,11.4.7,,68,0,0,1,0,0,1,0,0,0
2026-09-21,0.10.0,starter,,roots/bedrock,,1.31.5,,15,0,0,0,0,0,1,0,0,0
2026-09-21,0.10.0,starter,,shopware/production,,v6.7.14.1,,173,0,0,0,0,0,5,3,0,0
2026-09-21,0.10.0,starter,,sylius/sylius-standard,,v2.2.4,,195,0,3,0,0,1,5,1,0,3
2026-09-21,0.10.0,starter,,typo3/cms-base-distribution,,v14.3.0,,106,0,0,0,0,0,0,1,0,0
2026-09-21,0.10.0,starter,,craftcms/craft,,5.8.0,,111,0,0,2,0,1,7,3,0,0
2026-09-21,0.10.0,starter,,statamic/statamic,,v6.5.1,,123,0,0,1,0,0,2,4,0,0
2026-09-21,0.10.0,starter,,pimcore/skeleton,,v2026.2.0,,187,0,1,1,0,0,6,4,0,1
2026-09-21,0.10.0,starter,,slim/slim-skeleton,,4.5.0,,16,0,0,1,0,1,0,0,0,0
2026-09-21,0.10.0,starter,,cakephp/app,,5.4.0,,20,0,0,0,0,0,0,0,0,0
2026-09-21,0.10.0,starter,,yiisoft/yii2-app-basic,,2.0.55,,25,0,0,0,0,1,1,0,4,0
